,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,975,1,1,0,0,0,1,2,0,0,0.9948
y:label=1,0,1131,0,2,0,0,0,2,0,0,0.9964
y:label=2,0,1,1026,1,1,0,0,2,1,0,0.9941
y:label=3,0,0,1,1004,0,2,0,0,1,2,0.9940
y:label=4,0,0,2,0,971,0,2,0,0,7,0.9887
y:label=5,0,0,0,5,0,884,1,1,1,0,0.9910
y:label=6,2,2,0,0,1,2,950,0,1,0,0.9916
y:label=7,0,4,4,0,0,0,0,1018,0,2,0.9902
y:label=8,2,0,3,5,0,0,0,2,958,4,0.9835
y:label=9,1,0,0,0,3,5,0,4,0,996,0.9871
Precision,0.9948,0.9929,0.9893,0.9872,0.9948,0.9899,0.9958,0.9873,0.9958,0.9851,
F-Measures,0.9948,0.9946,0.9916,0.9905,0.9917,0.9904,0.9936,0.9887,0.9896,0.9860,
,,,,,,,,,,,
Accuracy,0.9913,,,,,,,,,,
Avg.Precision,0.9913,,,,,,,,,,
Avg.Recall,0.9912,,,,,,,,,,
Avg.F-Measures,0.9912,,,,,,,,,,
