x:image,y:label,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\7\0.png,7,1.6900325e-08,1.0324944e-06,2.5729054e-08,8.485448e-09,5.665277e-08,7.0810623e-12,3.4587482e-17,0.9999982,4.9841056e-09,6.1906877e-07
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\2\1.png,2,1.135502e-12,1.097543e-09,1.0,2.0161735e-17,4.0925948e-16,9.77509e-25,2.0740281e-14,2.012464e-15,3.7312552e-17,1.5403688e-23
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\1\2.png,1,8.412038e-10,0.99999964,9.014795e-08,8.7328186e-13,7.0938133e-10,9.468052e-10,5.524905e-08,2.0621007e-07,1.3280596e-09,5.1304953e-11
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\0\3.png,0,1.0,2.656468e-15,4.732732e-11,9.8559846e-14,8.919481e-12,2.3225359e-10,8.817227e-09,4.0485428e-12,3.3717913e-12,1.9775822e-08
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\4\4.png,4,2.3844658e-14,5.322526e-14,1.0357368e-10,3.3667883e-14,0.9999962,9.0614196e-14,2.5893043e-15,2.0598694e-12,1.1816219e-10,3.7747554e-06
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\1\5.png,1,2.5216787e-11,0.9999999,1.3977245e-09,1.7234935e-15,2.1132694e-10,3.0828777e-12,6.1801377e-11,1.0920729e-07,1.629224e-11,3.280131e-11
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\4\6.png,4,3.5848428e-20,8.965432e-10,3.365527e-10,6.821557e-17,0.99999905,4.082464e-12,3.7902872e-16,5.5741098e-12,4.150934e-07,5.3885014e-07
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\9\7.png,9,5.8623596e-12,1.3372234e-12,7.9394846e-10,8.7483635e-08,5.629664e-08,1.4754002e-11,3.1619893e-18,6.6060574e-11,5.0311844e-08,0.99999976
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\5\8.png,5,2.0693901e-14,2.5394118e-12,3.35191e-15,1.1254674e-12,1.6107132e-12,0.99996996,1.3031807e-06,2.4148636e-13,2.8629049e-05,8.7270706e-08
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\9\9.png,9,1.2707793e-13,5.844667e-14,1.7129574e-14,3.2424965e-11,2.4182764e-06,1.3075724e-12,1.1156725e-21,6.4519994e-09,2.716708e-09,0.9999976
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\0\10.png,0,1.0,4.2019401e-16,1.7141988e-12,7.8323325e-18,1.00081414e-20,1.1008821e-14,2.5424168e-11,3.234485e-12,5.809008e-17,5.180704e-12
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\6\11.png,6,3.5007858e-14,5.5609006e-21,4.1244604e-22,3.2717404e-22,2.0779679e-18,1.7150949e-12,1.0,3.5591945e-24,5.312827e-15,2.3844779e-23
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\9\12.png,9,2.4808397e-13,5.2626042e-14,3.4759914e-12,4.8796134e-11,1.3717607e-08,9.1540045e-15,6.2035113e-22,4.809697e-09,1.3933514e-09,1.0
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\0\13.png,0,1.0,4.744239e-14,1.1653439e-09,5.538598e-17,1.1490495e-15,7.886473e-12,1.8906084e-10,3.4525465e-09,4.122985e-13,9.1327466e-11
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\1\14.png,1,1.3904061e-09,0.99999917,1.02238336e-10,4.713205e-08,5.0873883e-09,2.592976e-10,2.4841512e-10,8.463716e-07,8.030314e-09,9.475893e-09
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\5\15.png,5,1.8735935e-16,9.998896e-11,4.771107e-14,6.1141773e-06,3.8943277e-16,0.9999939,9.493838e-14,2.0130222e-13,2.0298935e-10,9.094192e-14
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\9\16.png,9,4.4266834e-12,5.805634e-14,1.0221098e-11,8.1621543e-10,1.4084389e-09,2.0398513e-14,6.0107583e-20,2.690038e-06,3.4493248e-09,0.99999726
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\7\17.png,7,1.5406298e-08,1.7542832e-09,4.428238e-09,5.340354e-09,1.4049651e-09,2.261219e-12,7.042257e-19,0.99999976,9.584639e-12,2.9293332e-07
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\3\18.png,3,9.755889e-10,4.6119307e-08,0.0056560966,0.7113158,1.6710685e-06,0.0007815618,7.650598e-09,3.8159646e-06,0.28224093,8.6704176e-08
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\4\19.png,4,2.535733e-19,3.9161572e-14,3.730854e-11,2.1792061e-16,1.0,4.006859e-16,5.9939255e-19,2.0641483e-12,1.2958925e-14,7.9347656e-13
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\9\20.png,9,1.344433e-11,1.2236031e-09,6.8588906e-12,4.4322054e-10,1.5356765e-07,2.355274e-10,1.0353595e-20,4.967172e-07,1.3296249e-10,0.9999994
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\6\21.png,6,9.984611e-14,3.9801628e-19,1.3732014e-18,2.8265061e-19,3.4153289e-18,7.176536e-09,1.0,4.364682e-22,2.2738774e-13,1.8134384e-18
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\6\22.png,6,2.1226932e-11,4.560572e-12,1.5013767e-17,1.5707494e-16,2.5940963e-10,8.460107e-09,1.0,1.39617576e-14,5.382137e-13,1.146778e-13
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\5\23.png,5,1.43751e-20,5.17036e-19,1.3657041e-19,9.988526e-12,6.478454e-20,1.0,1.500931e-12,3.0148635e-21,1.8756601e-13,6.6511624e-13
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\4\24.png,4,4.3527058e-13,1.7999188e-12,4.907779e-09,1.0298326e-11,0.9999982,3.2137736e-12,3.5988421e-13,6.635458e-11,2.997496e-10,1.8268538e-06
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\0\25.png,0,0.9997229,1.51916e-14,1.0510017e-10,9.057911e-13,3.7052005e-06,4.1903116e-11,2.9349092e-08,2.968061e-08,4.014084e-09,0.00027344
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\7\26.png,7,1.537448e-08,1.4873319e-08,4.4474216e-08,3.1987234e-08,6.28166e-09,2.7219282e-12,2.2000493e-17,0.9999943,1.8005274e-11,5.573335e-06
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\4\27.png,4,1.6256542e-19,1.0232765e-16,8.912895e-13,4.91198e-18,1.0,8.87862e-17,4.540337e-21,8.042559e-15,1.1266406e-14,9.813077e-12
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\0\28.png,0,0.9999999,7.802802e-12,1.6028065e-07,6.819762e-11,1.3928091e-13,7.430034e-09,5.751212e-11,2.8981666e-09,3.621596e-11,1.2433084e-10
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\1\29.png,1,3.1691696e-09,0.9998964,1.1132161e-08,4.2023235e-08,1.8513391e-07,3.0906424e-08,2.4823969e-08,0.000102993086,2.9959807e-07,4.249751e-08
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\3\30.png,3,7.181104e-18,4.709196e-14,9.8424434e-17,1.0,3.8235133e-18,1.0698943e-12,1.5236395e-20,8.738116e-14,1.1786971e-15,2.4504302e-14
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\1\31.png,1,1.7471347e-10,0.9999912,2.3570973e-10,3.494971e-10,2.9725124e-06,1.7175671e-09,7.236829e-09,5.855499e-06,2.020013e-09,4.942514e-08
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\3\32.png,3,6.458467e-20,2.8772e-12,3.0230796e-14,1.0,2.7227596e-19,2.5142135e-09,9.689957e-18,2.4664846e-15,2.0291478e-13,7.9966316e-17
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\4\33.png,4,7.963215e-08,3.0703855e-12,1.6241714e-06,8.121072e-14,0.99999833,3.8548944e-13,9.682737e-10,1.1599886e-13,1.6402256e-14,1.2712462e-12
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\7\34.png,7,2.956968e-11,1.3571099e-06,1.3801786e-11,1.3874396e-11,6.8089367e-12,1.0746114e-15,2.6172518e-18,0.9999987,1.7364238e-10,1.13591976e-10
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\2\35.png,2,1.729486e-15,6.3379616e-07,0.9999994,5.136988e-14,2.0524282e-16,4.9780505e-20,1.0372479e-15,5.870252e-10,8.4930674e-13,3.59412e-17
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\7\36.png,7,2.579759e-09,9.830206e-07,0.0015963953,1.5144269e-06,3.2153482e-09,3.3874682e-16,1.6784176e-14,0.9984011,2.4934694e-08,8.714583e-10
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\1\37.png,1,5.956834e-10,0.99999833,7.309799e-12,7.251129e-12,2.693257e-08,2.2426327e-10,2.2510807e-09,1.6821808e-06,3.9309686e-10,1.5437626e-09
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\2\38.png,2,5.7803077e-12,9.719436e-08,0.9999999,2.677821e-13,1.5585843e-17,8.065673e-20,9.7677624e-14,4.0771626e-11,1.9601412e-13,5.668521e-22
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\1\39.png,1,7.382058e-10,0.99999976,2.9874304e-11,7.738034e-12,2.2493402e-10,6.507753e-13,1.7074975e-10,2.584405e-07,1.2978416e-10,1.524482e-09
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\1\40.png,1,2.3524075e-08,0.9999651,6.3859718e-09,5.331109e-10,1.6251258e-08,8.986373e-10,2.3229354e-08,3.4932025e-05,8.4054597e-10,2.261286e-09
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\7\41.png,7,3.7250065e-09,0.0003065763,0.0044238553,0.0016156631,1.4775186e-07,3.877814e-13,2.0436174e-12,0.99365366,3.487639e-09,6.226399e-08
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\4\42.png,4,8.912783e-19,9.20341e-11,2.2753534e-16,1.02987116e-16,1.0,3.5947268e-16,9.094615e-17,5.9470685e-14,1.0470655e-12,1.5911541e-09
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\2\43.png,2,2.9091426e-17,2.1028524e-07,0.99999976,7.745451e-11,2.652989e-11,5.1098766e-16,1.1552698e-09,4.7534116e-11,2.7129284e-13,2.1541355e-18
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\3\44.png,3,1.1103028e-16,1.9444388e-09,1.4718084e-11,1.0,7.433446e-14,1.0094339e-08,7.302616e-13,3.0263522e-13,1.2630998e-10,2.200019e-14
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\5\45.png,5,2.1526453e-14,2.0729327e-14,1.2510412e-15,7.0827433e-10,4.0078065e-16,1.0,2.9534744e-09,2.8159528e-16,2.0328331e-08,1.0879958e-11
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\1\46.png,1,2.8771655e-10,0.9999907,1.0497935e-08,1.02576905e-07,2.5054086e-07,5.4143148e-09,7.27935e-10,4.4119965e-08,8.915828e-06,5.039879e-08
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\2\47.png,2,3.3478328e-22,1.2610552e-15,1.0,1.3846489e-16,2.1967001e-16,4.089816e-24,7.5388956e-17,5.8833796e-18,2.3300483e-17,3.7197734e-24
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\4\48.png,4,1.2704736e-18,2.6075044e-14,1.2757316e-13,6.6239586e-16,1.0,3.3826708e-16,3.1118606e-20,9.273819e-16,4.943198e-12,3.421754e-09
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\4\49.png,4,2.5337437e-16,1.7580088e-15,2.058747e-10,2.3030465e-13,0.9999995,2.1672352e-15,6.8967106e-16,2.668696e-11,8.4589085e-13,4.6377752e-07
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\6\50.png,6,4.7125095e-11,4.4094596e-17,1.225201e-17,1.4825562e-16,5.742498e-15,1.2846607e-10,1.0,1.308043e-22,7.504118e-14,1.0942354e-18
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\3\51.png,3,6.223888e-17,6.5428557e-12,1.4630946e-12,1.0,3.327653e-14,2.9344935e-10,3.2593414e-17,2.5998223e-10,4.6201476e-10,3.788327e-15
