,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,975,0,2,0,0,0,1,1,1,0,0.9948
y:label=1,0,1127,3,2,0,1,0,2,0,0,0.9929
y:label=2,0,2,1027,0,0,0,0,3,0,0,0.9951
y:label=3,0,0,1,1005,0,3,0,0,1,0,0.9950
y:label=4,0,0,0,1,976,0,1,0,0,4,0.9938
y:label=5,2,0,1,7,0,877,1,1,1,2,0.9831
y:label=6,3,2,0,1,1,1,945,1,4,0,0.9864
y:label=7,1,1,4,3,0,0,0,1018,0,1,0.9902
y:label=8,4,0,1,3,1,0,1,2,960,2,0.9856
y:label=9,3,1,0,5,5,4,1,3,1,986,0.9772
Precision,0.9868,0.9947,0.9884,0.9785,0.9928,0.9898,0.9947,0.9873,0.9917,0.9909,
F-Measures,0.9907,0.9937,0.9917,0.9866,0.9932,0.9864,0.9905,0.9887,0.9886,0.9840,
,,,,,,,,,,,
Accuracy,0.9896,,,,,,,,,,
Avg.Precision,0.9896,,,,,,,,,,
Avg.Recall,0.9894,,,,,,,,,,
Avg.F-Measures,0.9894,,,,,,,,,,
