x:image,y:label,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\7\0.png,7,1.7545204e-09,3.4120337e-10,6.3691045e-06,0.0006223677,1.8735982e-11,2.8670306e-09,6.673782e-16,0.9993685,1.0458072e-09,2.6829625e-06
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\2\1.png,2,5.824152e-09,2.370602e-07,0.99999976,9.674024e-13,6.602542e-15,3.8808972e-17,6.6887995e-11,1.5023527e-14,5.4434242e-11,9.03711e-15
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\1\2.png,1,3.325612e-07,0.99979025,4.766853e-06,6.426267e-07,2.9988068e-05,9.001505e-07,1.2432536e-05,0.00015708683,2.8520208e-06,7.088991e-07
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\0\3.png,0,0.9999981,2.9684188e-16,2.0082725e-08,9.73945e-10,1.5855903e-11,3.2040912e-08,1.9518532e-06,1.5337445e-10,9.701794e-10,3.386319e-08
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\4\4.png,4,3.1803066e-10,3.9691312e-09,3.8849843e-11,5.7950946e-11,0.99997544,8.8445536e-12,1.4712175e-10,8.328543e-07,1.557055e-09,2.3673409e-05
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\1\5.png,1,2.6688904e-08,0.9997161,1.3834175e-07,3.7789758e-07,1.3452078e-05,3.2103866e-08,1.7374007e-06,0.00026664254,1.061989e-06,4.2167656e-07
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\4\6.png,4,1.03979215e-14,3.009699e-09,2.604172e-08,8.061188e-11,0.9996909,4.639004e-06,6.701004e-12,1.097679e-05,7.3340656e-05,0.00022028494
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\9\7.png,9,3.3500325e-10,1.5962925e-08,2.1297283e-05,3.0858357e-06,6.248037e-05,8.269399e-05,2.7894286e-12,7.786823e-08,0.0009128846,0.99891746
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\5\8.png,5,1.705763e-10,3.420323e-14,4.7470303e-09,2.4969662e-09,1.2033398e-07,0.9995977,0.00035012778,8.388061e-09,3.136887e-05,2.0768208e-05
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\9\9.png,9,1.1486973e-11,1.825666e-14,3.687745e-09,7.373799e-07,1.7592687e-05,2.3237398e-08,3.4237377e-14,5.4117063e-06,2.603555e-06,0.99997365
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\0\10.png,0,0.99999464,1.1645193e-14,5.2313976e-06,5.9071814e-12,1.7869844e-17,1.055329e-11,2.3682962e-09,1.2368642e-09,1.0784253e-09,1.7204108e-07
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\6\11.png,6,4.474859e-07,2.2318465e-15,3.58315e-12,6.833773e-14,1.8786668e-13,7.1908815e-08,0.9999995,1.6073425e-15,4.0117043e-09,2.65497e-13
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\9\12.png,9,5.4122666e-12,7.9751296e-14,4.2361983e-10,1.2774511e-07,2.154959e-06,2.3819926e-09,6.461689e-13,1.8366171e-06,4.7638198e-07,0.99999535
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\0\13.png,0,0.9999485,7.3025326e-13,2.1138926e-06,1.2175085e-10,2.237012e-12,4.212877e-09,1.0044102e-07,2.5214678e-07,2.5666156e-07,4.879535e-05
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\1\14.png,1,6.8243395e-08,0.99980146,3.8187383e-07,2.4069786e-05,6.459372e-05,3.6158985e-05,4.623715e-07,3.32794e-05,1.7097587e-05,2.2569957e-05
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\5\15.png,5,8.52181e-11,1.2697565e-07,5.2525975e-06,0.003768553,1.7634848e-12,0.99622583,1.326889e-09,9.6014805e-09,2.1079448e-07,2.8104588e-10
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\9\16.png,9,6.070004e-09,1.1790986e-13,1.2683965e-10,1.9182709e-08,6.21708e-07,1.780733e-10,6.3562298e-12,6.897564e-06,1.09809896e-07,0.9999924
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\7\17.png,7,2.5377958e-07,1.585229e-13,1.3693188e-05,0.00019818381,3.1543006e-13,7.945536e-09,2.1006647e-16,0.99978083,9.178198e-12,6.99844e-06
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\3\18.png,3,1.3195477e-08,3.6948822e-11,0.0004113864,0.75504327,1.4943645e-09,0.03895116,2.8780923e-08,1.966983e-08,0.20559222,1.9934328e-06
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\4\19.png,4,7.735545e-12,1.4826448e-08,2.5379e-09,1.2781215e-09,0.99999654,6.988923e-08,2.3011891e-11,2.9230546e-06,5.0647584e-09,3.759174e-07
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\9\20.png,9,1.6079439e-09,1.8148623e-06,4.3897765e-09,4.5192e-05,0.0003912941,4.684966e-06,4.0988057e-13,0.0012862547,5.2905335e-07,0.99827015
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\6\21.png,6,2.1367056e-11,9.280096e-15,5.2529425e-10,1.0620672e-09,1.2618958e-12,6.720146e-05,0.9999324,1.0847132e-14,3.341782e-07,8.3267886e-14
C:\Users\23060814\Desktop\NNC_130\samples\sample_dataset\mnist\validation\6\22.png,6,9.200442e-07,4.3014644e-11,7.881432e-12,4.5824324e-11,4.7485972e-08,6.9741445e-06,0.999992,7.8958805e-11,1.1695147e-08,3.3200651e-09
